Nama Paket,Kategori,Jumlah Box,Jumlah Kambing,Harga,Gambar (URL / path),Isi Paket,Tag / Label Promo (jika ada)
Paket Reguler,Perempuan,75,1,3050000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/paket_reguler.webp,"- Box Exclusive
- Nasi Putih
- Olahan Daging (Sate/Teriyaki/Rendang)
- Olahan Tulang (Gulai/Sop/Tongseng)
- Kentang Balado
- Kerupuk Udang
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",BEST SELLER ⭐
Paket Reguler,Perempuan,100,1,4600000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/paket_reguler.webp,"- Box Exclusive
- Nasi Putih
- Olahan Daging (Sate/Teriyaki/Rendang)
- Olahan Tulang (Gulai/Sop/Tongseng)
- Kentang Balado
- Kerupuk Udang
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",BEST SELLER ⭐
Paket Reguler,Perempuan,125,1,4300000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/paket_reguler.webp,"- Box Exclusive
- Nasi Putih
- Olahan Daging (Sate/Teriyaki/Rendang)
- Olahan Tulang (Gulai/Sop/Tongseng)
- Kentang Balado
- Kerupuk Udang
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",BEST SELLER ⭐
Paket Spesial,Perempuan,50,1,2950000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/paket_spesial.webp,"- Box Exclusive
- Nasi Putih
- Olahan Daging (Sate/Teriyaki/Rendang)
- Olahan Tulang (Gulai/Sop/Tongseng)
- Olahan Ayam (Ayam Goreng/Bakar)
- Kentang Balado
- Kerupuk Udang
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",PALING LENGKAP🤤
Paket Spesial,Perempuan,75,1,3800000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/paket_spesial.webp,"- Box Exclusive
- Nasi Putih
- Olahan Daging (Sate/Teriyaki/Rendang)
- Olahan Tulang (Gulai/Sop/Tongseng)
- Olahan Ayam (Ayam Goreng/Bakar)
- Kentang Balado
- Kerupuk Udang
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",PALING LENGKAP🤤
Paket Spesial,Perempuan,100,1,4650000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/paket_spesial.webp,"- Box Exclusive
- Nasi Putih
- Olahan Daging (Sate/Teriyaki/Rendang)
- Olahan Tulang (Gulai/Sop/Tongseng)
- Olahan Ayam (Ayam Goreng/Bakar)
- Kentang Balado
- Kerupuk Udang
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",PALING LENGKAP🤤
Paket Spesial,Perempuan,125,1,5500000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/paket_spesial.webp,"- Box Exclusive
- Nasi Putih
- Olahan Daging (Sate/Teriyaki/Rendang)
- Olahan Tulang (Gulai/Sop/Tongseng)
- Olahan Ayam (Ayam Goreng/Bakar)
- Kentang Balado
- Kerupuk Udang
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",PALING LENGKAP🤤
Paket Kebuli Basmati,Perempuan,50,1,2950000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/kebuli_basmati.webp,"- Box Bento Minimalist
- Nasi Kebuli Basmati
- Daging Goreng Rempah
- Kentang Balado
- Emping
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",-
Paket Kebuli Basmati,Perempuan,75,1,3900000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/kebuli_basmati.webp,"- Box Bento Minimalist
- Nasi Kebuli Basmati
- Daging Goreng Rempah
- Kentang Balado
- Emping
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",-
Paket Kebuli Basmati,Perempuan,100,1,4800000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/kebuli_basmati.webp,"- Box Bento Minimalist
- Nasi Kebuli Basmati
- Daging Goreng Rempah
- Kentang Balado
- Emping
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",-
Paket Kebuli Basmati,Perempuan,125,1,5700000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/kebuli_basmati.webp,"- Box Bento Minimalist
- Nasi Kebuli Basmati
- Daging Goreng Rempah
- Kentang Balado
- Emping
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",-
Paket Kebuli Lokal,Perempuan,50,1,2600000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/kebuli_lokal.webp,"- Box Bento Minimalist
- Nasi Kebuli Lokal
- Daging Goreng Rempah
- Kentang Balado
- Emping
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",-
Paket Kebuli Lokal,Perempuan,75,1,3450000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/kebuli_lokal.webp,"- Box Bento Minimalist
- Nasi Kebuli Lokal
- Daging Goreng Rempah
- Kentang Balado
- Emping
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",-
Paket Kebuli Lokal,Perempuan,100,1,4250000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/kebuli_lokal.webp,"- Box Bento Minimalist
- Nasi Kebuli Lokal
- Daging Goreng Rempah
- Kentang Balado
- Emping
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",-
Paket Kebuli Lokal,Perempuan,125,1,4950000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/kebuli_lokal.webp,"- Box Bento Minimalist
- Nasi Kebuli Lokal
- Daging Goreng Rempah
- Kentang Balado
- Emping
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",-
Hewan Masak,Perempuan,-,1,Hubungi Kami,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/hewan_masak.webp,"- Olahan Daging (Sate/Teriyaki/Rendang)
- Olahan Tulang (Gulai/Sop/Tongseng)",-
Karkas,Perempuan,-,1,Hubungi Kami,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/karkas.webp,- Daging & Tulang Domba Segar,-
